,Company,name,Year,Number of Records Affected,Organization Type,Reasons for Breach,Reference Link(s),domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate,country_code,latitude,longitude
0,21st Century Oncology,21st century oncology,2016,2200000.0,['healthcare'],['hacked'],"[['http://cbs12.com/news/local/21st-century-oncology-notifies-22-million-of-hacking-data-breach'], ['http://www.natlawreview.com/article/oh-no-not-again-chalk-yet-another-health-data-breach']]",21stcenturyoncology.com,0.0,medical practice,1001 - 5000,"fort myers, florida, united states",united states,linkedin.com/company/21st-century-oncology,866.0,1426.0,US,187.24.00,-11976.31.00
1,500px,500px,2020,14870304.0,['social network'],['hacked'],[['https://www.theregister.co.uk/2019/02/11/620_million_hacked_accounts_dark_web/']],500px.com,2009.0,internet,201 - 500,"toronto, ontario, canada",canada,linkedin.com/company/500px,123.0,281.0,CA,2228.46.00,-5885.31.00
2,Accendo Insurance Co.,accendo group,2020,175350.0,['healthcare'],['poor security'],"[['https://www.prnewswire.com/news-releases/accendo-insurance-company-addresses-patient-information-issue-124488298.html'], ['http://www.databreaches.net/rxamerica-and-accendo-insurance-notify-175000-medicare-beneficiaries-that-mailing-error-exposed-their-medication-name-date-of-birth-and-member-id/']]",vivepoint.com,2011.0,management consulting,1 - 10,"nice, provence-alpes-cote d'azur, france",france,linkedin.com/company/accendo-group,2.0,5.0,FR,3839.58.00,3564.29.00
3,Adobe Systems Incorporated,adobe,2013,152000000.0,['tech'],['hacked'],"[['https://www.theverge.com/2013/11/7/5078560/over-150-million-breached-records-from-adobe-hack-surface-online'], ['https://arstechnica.com/security/2013/11/how-an-epic-blunder-by-adobe-could-strengthen-hand-of-password-crackers/']]",adobe.com,1982.0,computer software,10001+,"san jose, california, united states",united states,linkedin.com/company/adobe,14176.0,29824.0,US,187.24.00,-11976.31.00
4,Adobe Inc.,adobe,2019,7500000.0,['tech'],['poor security'],"[['https://www.comparitech.com/blog/information-security/7-million-adobe-creative-cloud-accounts-exposed-to-the-public/'], ['https://www.zdnet.com/article/adobe-admits-2-9m-customer-accounts-have-been-compromised/']]",adobe.com,1982.0,computer software,10001+,"san jose, california, united states",united states,linkedin.com/company/adobe,14176.0,29824.0,US,187.24.00,-11976.31.00
5,Advocate Medical Group,advocate medical group,2017,4000000.0,['healthcare'],['lost / stolen'],"[['http://healthitsecurity.com/2013/08/27/advocate-medical-group-endures-massive-data-breach/'], ['http://healthitsecurity.com/news/advocate-medical-group-endures-massive-data-breach']]",0,0.0,higher education,501 - 1000,"libertyville, illinois, united states",united states,linkedin.com/company/advocate-medical-group,318.0,482.0,US,187.24.00,-11976.31.00
6,AerServ (subsidiary of InMobi),inmobi,2018,75000.0,['advertising'],['hacked'],[['https://justice.oregon.gov/consumer/DataBreach/Home/Details/2099829533']],inmobi.com,2007.0,marketing and advertising,1001 - 5000,"san francisco, california, united states",singapore,linkedin.com/company/inmobi,818.0,2014.0,SG,5869.03.00,13766.56.00
7,"Affinity Health Plan, Inc.",affinity health plan,2013,344579.0,['healthcare'],['lost / stolen'],"[['https://www.hhs.gov/about/news/2013/08/14/hhs-settles-with-health-plan-in-photocopier-breach-case.html'], ['https://www.databreachtoday.com/12-million-penalty-in-copier-breach-a-5991']]",affinityplan.org,1986.0,insurance,501 - 1000,"new york, new york, united states",united states,linkedin.com/company/affinity-health-plan,410.0,1037.0,US,187.24.00,-11976.31.00
8,Airtel,airtel,2019,320000000.0,['telecoms'],['poor security'],[['https://www.bbc.com/news/world-asia-india-50641608']],airtel.in,1995.0,telecommunications,10001+,"gurgaon, haryana, india",india,linkedin.com/company/airtel,13142.0,35567.0,IN,9914.44.00,1682.48.00
9,Aadhar data breach,aadhar group,2023,810000000.0,['government'],['poor security'],[['https://economictimes.indiatimes.com/tech/technology/aadhar-data-leak-personal-data-of-81-5-crore-indians-on-sale-on-dark-web-report/articleshow/104856898.cms']],adhargroup.com,2006.0,real estate,51 - 200,"noida, uttar pradesh, india",india,linkedin.com/company/aadhar-group,18.0,26.0,IN,9914.44.00,1682.48.00
